Date,Time,C1_1,C2_1,C3_1,C4_1,C6_1,C8_1,C9_1,C10_1,C11_1,C12_1,C13_1,C15_1,C17_1,C19_1,C21_1,C23_1,C26_1,C28_1,C31_1,C34_1,C35_1,C36_1,C37_1,C38_1,C40_1,C41_1,C45_1,C47_1,C48_1,C49_1,C51_1,C52_1,C53_1,C54_1,C56_1,C58_1,C59_1,C61_1,C63_1,C64_1,C68_1,C69_1,C70_1,C71_1,C72_1,C73_1,C74_1,C75_1,C76_1,C77_1,C78_1,C79_1,C81_1,C82_1,C84_1,C85_1,C87_1,C94_1,C96_1,C98_1,C100_1,C104_1,C105_1,C119_1,C131_1,C134_1,C136_1,C140_1,C145_1,C147_1,C148_1,C167_1,C169_1,C170_1,C171_1,C199_1,C306_1,C312_1,C314_1,C316_3,C317_1,C318_1,C401_2,C402_1,C403_1,C404_1,C409_1,C410_1,C413_1,C414_1,C415_1,C501_1,C502_1,C503_1,C601_1,C602_1,C603_1,C612_1,C613_1,C614_1,C617_1,C618_1,C619_1,C620_1,C640_1,C642_1,C643_1,C661_1,C662_1,C663_1,C678_1,C707_1,C1006_1,C1014_1,C1015_1,C1016_1,C5001_1,C5001_2,C5004_1,C5005_1,C5006_1,C5007_1,C5008_1
20030520,00:00,140.56,202.34,114.20,124.42,330.85,133.99,197.45,143.10,149.11,271.95,123.46,127.24,134.47,90.82,118.35,112.92,133.70,173.15,140.62,143.19,123.53,176.13,256.02,117.63,306.26,278.36,149.36,43.48,157.94,189.29,152.72,104.91,144.40,204.93,132.60,127.68,153.06,118.36,140.53,167.14,116.92,130.14,131.31,129.48,242.79,123.42,146.49,125.76,143.22,134.44,106.23,28.23,148.97,102.08,155.97,56.56,130.61,102.37,158.79,129.54,135.06,23.66,26.66,188.65,195.76,128.01,181.56,121.71,137.05,167.33,162.07,128.72,168.34,128.69,112.47,113.67,33.97,133.44,136.67,129.87,355.42,74.08,158.71,139.23,165.58,LIM,157.65,136.89,336.39,167.68,94.72,112.36,134.30,132.21,135.03,120.06,PMA,77.48,133.46,113.13,LST,LST,LST,LST,186.84,175.95,184.37,231.90,LIM,95.57,111.97,LST,92.54,40.28,151.69,LST,99.92,99.77,118.41,132.66,112.50,115.61,128.54
20030520,01:00,155.81,216.31,104.00,130.65,130.52,132.19,208.38,164.78,146.77,344.82,139.28,130.38,153.50,93.68,121.43,112.40,160.30,216.60,115.38,157.53,158.11,146.49,120.44,111.00,143.26,109.58,174.50,47.16,164.41,145.34,173.76,117.13,141.59,227.44,135.52,114.44,153.55,141.31,143.11,191.18,104.47,115.24,139.15,80.62,258.81,137.68,120.94,138.95,131.15,138.58,145.54,29.76,156.75,92.76,150.64,348.49,133.45,110.74,164.43,132.47,153.52,25.01,29.12,216.69,232.01,146.29,217.70,125.41,154.86,182.99,174.31,149.96,174.29,134.31,92.66,122.18,36.65,155.60,142.54,76.14,99.61,42.93,168.10,143.14,164.25,LIM,153.13,150.52,171.96,94.42,149.84,102.36,107.30,107.18,140.76,121.54,PMA,67.61,90.58,96.63,LST,LST,LST,LST,210.04,215.28,232.27,133.72,LIM,86.83,119.24,LST,98.12,42.60,166.53,LST,91.31,68.01,125.34,146.80,133.83,136.89,144.90
20030520,02:00,171.63,232.60,99.78,125.07,90.68,149.05,265.56,154.18,148.45,102.52,110.23,172.16,110.08,92.46,111.68,130.79,157.50,258.36,86.60,162.49,168.80,97.79,98.31,100.06,119.34,104.71,182.93,46.70,160.97,102.22,172.52,127.10,146.83,235.67,111.67,127.05,146.58,117.41,116.17,220.40,90.31,96.38,112.51,123.43,93.16,137.96,119.68,108.79,117.84,147.92,141.94,24.11,173.47,91.11,152.72,23.70,132.27,132.63,170.04,131.52,152.41,19.02,23.37,264.70,277.25,129.28,248.71,126.40,179.67,181.21,183.21,153.81,181.07,125.86,98.72,118.28,32.81,114.09,141.72,117.06,101.05,26.40,151.73,131.27,170.20,LIM,150.50,145.58,163.23,83.07,86.13,105.42,113.13,123.83,174.50,131.47,PMA,0.00,82.32,101.39,LST,LST,LST,LST,272.70,211.85,284.11,100.58,LIM,83.61,117.99,LST,83.39,40.10,192.44,LST,90.18,68.79,138.41,154.98,133.89,114.34,109.91
20030520,03:00,166.07,226.60,126.41,119.95,38.85,159.47,285.99,159.91,145.83,71.46,117.76,187.94,108.62,79.81,106.87,122.71,164.42,321.25,94.20,179.86,166.12,78.61,71.79,102.47,89.10,58.72,179.69,52.12,176.77,51.46,169.96,107.85,149.80,245.42,125.05,126.02,143.24,109.63,100.73,264.99,107.88,86.03,104.93,77.62,324.75,97.45,80.15,98.14,46.24,119.79,139.75,24.91,166.57,90.16,151.08,325.34,134.39,108.98,179.07,134.67,163.07,19.97,24.21,261.59,327.27,110.48,281.72,128.31,177.68,180.75,192.36,150.72,183.79,124.86,155.04,118.54,35.38,96.92,141.02,190.62,80.21,24.59,127.38,107.35,185.04,LIM,157.22,154.32,136.09,74.68,95.85,106.85,134.88,131.43,178.44,132.57,PMA,185.60,122.90,117.34,LST,LST,LST,LST,283.70,61.73,317.29,111.15,LIM,62.79,116.17,LST,98.04,40.01,200.47,LST,125.03,99.34,136.83,165.02,127.02,105.83,122.05
20030520,04:00,172.44,250.93,169.07,121.58,30.99,173.12,113.42,292.75,145.67,55.17,104.91,203.76,127.56,92.83,109.87,111.35,193.80,351.28,113.61,181.44,141.75,72.87,49.84,164.30,82.70,29.93,181.46,46.32,186.85,72.08,178.92,99.68,149.05,255.32,38.66,133.62,142.18,103.40,104.97,88.32,110.78,102.39,134.25,59.87,39.93,58.68,78.32,4.67,350.29,82.60,140.17,31.12,175.76,82.70,145.77,101.94,136.23,95.31,188.59,137.56,200.33,24.77,29.31,221.89,346.50,116.50,248.91,126.33,168.80,171.35,194.67,160.32,187.87,128.08,175.89,120.90,34.35,101.79,149.31,190.58,74.46,50.70,133.89,106.01,187.32,LIM,145.28,165.84,133.91,71.15,94.86,100.54,118.18,127.36,186.43,127.93,PMA,0.00,174.74,142.53,LST,LST,LST,LST,359.66,46.09,352.78,54.58,LIM,65.69,112.18,LST,111.94,39.18,199.26,LST,160.25,36.02,137.00,166.09,78.75,103.22,162.37
20030520,05:00,202.05,183.56,170.73,129.73,33.38,216.50,102.97,319.79,172.18,67.61,264.88,228.57,99.62,91.09,119.55,117.99,217.30,76.60,94.68,172.43,244.89,76.09,21.01,161.80,99.63,51.05,235.41,45.03,206.93,77.11,243.52,91.44,188.66,231.17,347.05,134.29,139.91,92.56,110.97,96.01,58.63,111.45,133.96,70.81,19.30,354.76,110.24,322.07,351.97,345.30,189.58,20.69,209.92,85.64,289.51,58.68,135.84,93.87,184.30,142.61,208.54,15.71,19.36,187.83,73.40,104.38,193.80,123.26,223.29,158.42,227.21,222.25,242.70,134.78,178.93,125.95,36.98,90.84,144.13,187.43,94.23,32.77,112.40,95.03,230.14,LIM,255.36,182.24,143.01,75.48,99.91,85.39,140.84,151.62,187.73,123.39,PMA,112.68,180.46,164.94,LST,LST,LST,LST,76.14,92.92,109.93,47.16,LIM,48.10,106.26,LST,84.03,39.25,216.91,LST,157.96,158.04,166.53,159.15,346.90,91.36,340.47
20030520,06:00,198.36,167.01,177.46,120.15,41.16,262.83,30.76,298.42,357.26,81.99,338.81,162.61,5.23,76.45,105.31,145.33,164.60,29.75,6.86,192.69,211.24,67.15,47.32,178.14,105.77,59.80,242.34,46.48,217.07,82.64,211.36,156.19,208.52,276.29,16.16,157.80,170.73,282.48,57.50,113.36,345.67,64.52,356.22,63.92,24.08,308.94,40.66,351.91,356.34,32.69,130.66,20.59,217.41,91.81,8.52,48.48,132.62,123.73,198.63,143.82,227.40,15.95,20.21,156.78,11.51,69.94,351.68,152.68,255.64,45.49,221.31,209.63,230.03,132.70,177.97,125.47,35.79,66.40,130.27,178.08,10.07,34.20,77.43,71.76,244.38,LIM,312.29,149.71,145.55,72.53,98.16,87.30,166.29,166.96,181.73,102.03,PMA,293.77,184.32,175.95,LST,LST,LST,LST,FEW,38.52,60.81,79.66,LIM,65.94,139.50,LST,24.44,37.46,219.79,LST,167.87,147.22,184.90,173.28,53.00,250.02,10.05
20030520,07:00,40.96,83.24,183.05,114.07,49.58,132.16,19.26,342.68,102.61,88.13,348.47,121.00,0.72,97.15,102.43,145.14,351.48,341.02,357.92,181.37,114.56,55.01,47.57,188.73,107.76,67.26,142.59,36.48,144.71,73.67,126.04,356.87,104.16,313.85,11.11,158.94,210.33,359.71,358.74,24.19,2.65,29.15,14.45,55.16,66.25,325.73,30.65,351.82,355.61,345.41,108.62,19.04,154.39,86.55,94.40,38.90,140.98,31.76,187.78,144.31,20.18,13.13,18.59,32.12,354.36,353.89,26.39,152.33,307.67,17.68,192.61,165.84,210.88,128.64,189.90,133.33,13.27,26.09,126.78,259.06,8.59,48.97,18.48,354.66,219.03,LIM,88.40,119.38,146.74,44.14,94.02,89.77,167.51,166.74,191.80,108.06,PMA,154.38,194.68,182.45,LST,LST,LST,LST,LST,65.65,21.69,70.98,LIM,52.16,140.32,LST,56.84,33.35,185.07,LST,177.59,164.43,196.09,176.00,349.11,349.24,4.43
20030520,08:00,149.76,52.47,119.72,138.83,52.70,108.60,71.79,66.24,79.33,86.44,3.26,107.74,15.48,32.39,126.55,157.23,71.41,321.53,5.27,131.61,81.44,78.56,53.09,77.69,113.85,74.25,112.33,29.21,144.94,72.05,104.52,354.18,153.91,311.39,14.52,158.89,215.05,8.65,359.52,59.71,1.01,4.86,18.06,54.96,51.11,321.64,346.95,354.79,6.58,11.68,28.89,26.79,158.85,61.54,56.36,327.40,195.29,350.25,131.28,157.82,98.19,22.78,26.14,204.95,340.19,1.84,21.84,176.54,64.14,60.45,65.92,130.32,198.68,152.88,99.37,153.68,26.06,35.36,138.69,314.99,12.15,58.78,17.74,350.90,194.94,LIM,117.66,146.57,152.56,42.94,96.63,91.68,193.92,191.99,233.11,277.98,PMA,284.72,170.81,162.09,LST,LST,LST,LST,LST,342.92,12.85,62.22,LIM,55.87,145.18,LST,359.36,27.03,176.71,LST,105.76,32.09,198.74,115.63,340.93,357.59,7.97
20030520,09:00,44.65,68.20,186.84,85.18,45.22,22.91,57.09,79.76,68.85,82.02,350.89,22.50,0.68,46.55,99.07,191.12,344.95,331.67,39.81,112.89,19.90,82.29,51.38,51.82,114.69,77.12,17.55,31.22,4.52,75.96,35.14,1.01,68.76,309.88,6.93,204.30,189.38,21.39,31.45,37.83,50.44,12.36,25.62,356.65,53.70,310.97,15.61,355.91,357.64,16.21,3.48,28.93,111.62,81.27,49.85,49.08,162.52,357.79,93.80,140.13,92.85,22.90,27.36,88.94,340.31,25.34,33.66,216.47,69.74,65.22,358.27,FEW,262.27,149.89,77.89,123.90,35.48,36.02,140.15,333.91,12.37,58.26,38.07,3.06,14.29,LIM,24.13,23.49,154.57,41.91,FEW,57.41,204.39,189.47,358.25,264.64,PMA,13.00,156.86,24.87,LST,LST,LST,LST,LST,45.67,36.84,64.06,LIM,52.69,173.05,LST,11.12,29.48,69.51,LST,178.79,46.94,157.33,107.44,342.90,11.61,2.35
