CCECAI,Abundance
5,6.283185307
2,6.102902191
1,6.260914135
1,6.220317784
3,6.283185307
1,6.283185307
1,6.283185307
1,6.283185307
1,6.2549008
3,6.104778187
3,6.283185307
1,6.283185307
3,6.283185307
1,6.131570643
0,6.283185307
5,6.283185307
5,6.283185307
4,6.283185307
3,6.283185307
0,6.283185307
0,6.283185307
0,6.283185307
2,6.039296658
0,6.183817148
5,5.856834115
5,5.869731656
5,6.283185307
0,6.196000425
0,6.283185307
5,6.283185307
1,6.283185307
7,6.283185307
0,6.283185307
1,6.248313674
7,5.765821535
1,6.283185307
7,5.983921251
7,6.283185307
4,6.283185307
1,6.283185307
0,6.283185307
7,6.057783992
0,5.981942158
7,6.283185307
3,6.283185307
1,6.104733292
1,6.283185307
1,6.190829931
3,6.283185307
4,5.724667641
4,6.283185307
0,6.208776715
2,6.094988265
5,6.283185307
5,6.061224622
5,6.21343939
1,6.262789141
2,6.283185307
4,6.283185307
2,5.816405671
3,6.081307643
4,6.283185307
4,6.283185307
4,5.731352889
2,6.283185307
2,6.262019198
2,6.203984173
2,6.283185307
4,5.946215939
4,6.194724719
2,6.206239025
4,6.150074302
4,6.283185307
4,6.044044967
2,6.017599934
4,6.086454026
4,6.283185307
4,5.912986926
4,6.032293889
2,6.283185307
5,6.283185307
4,6.119971397
2,5.911295499
5,5.970405461
1,6.192138992
2,6.198231878
5,6.23602491
1,6.15648342
5,6.283185307
5,6.283185307
1,6.249718516
3,6.047319988
1,5.95177152
1,6.142928183
5,5.829310226
5,6.200233596
5,5.96269254
1,6.283185307
5,5.940397669
5,6.283185307
3,6.283185307
5,6.283185307
1,6.283185307
5,6.283185307
3,6.283185307
3,6.283185307
4,6.283185307
3,6.121549243
5,6.283185307
3,6.283185307
4,6.234522007
3,6.283185307
1,6.283185307
5,5.923658243
5,5.944075835
5,6.283185307
3,6.237929508
4,6.283185307
3,6.283185307
4,6.283185307
3,5.88103088
2,6.04177544
2,6.111551761
0,6.283185307
0,6.248084999
0,6.254340647
3,5.881090968
0,6.127453964
3,6.074360973
1,6.283185307
3,6.234522007
1,6.283185307
1,6.283185307
3,6.283185307
3,6.074399355
3,5.666263787
3,5.897401835
8,5.510376063
1,6.250935927
6,6.099992904
1,6.283185307
4,6.283185307
4,6.283185307
6,6.199369867
3,6.054921128
3,6.244818067
6,6.045356332
4,6.283185307
